"Gene","Direction","Data"
"DDIT4","Up","Common"
"HLA-B","Down","Common"
"HLA-C","Down","Common"
"DHCR24","Up","NonMS"
"FADS1","Up","NonMS"
"IL16","Up","NonMS"
"IL21R","Up","NonMS"
"INSIG1","Up","NonMS"
"PHGDH","Up","NonMS"
"SCD","Up","NonMS"
"SPAG4","Up","NonMS"
"NTAN1","Down","NonMS"
"PSMB8","Down","NonMS"
"VPS28","Down","NonMS"
"ADM","Up","MS"
"ADORA2A","Up","MS"
"BCKDHA","Up","MS"
"BOLA2B","Up","MS"
"BSCL2","Up","MS"
"C19orf48","Up","MS"
"COPG1","Up","MS"
"CYP51A1","Up","MS"
"DDX39A","Up","MS"
"EWSR1","Up","MS"
"IFI30","Up","MS"
"IGLL5","Up","MS"
"LIME1","Up","MS"
"MAN2B1","Up","MS"
"MCM2","Up","MS"
"MCM3","Up","MS"
"MCM5","Up","MS"
"MCM7","Up","MS"
"NOMO2","Up","MS"
"PRMT5","Up","MS"
"RRM2","Up","MS"
"SELPLG","Up","MS"
"SLX1A","Up","MS"
"STT3A","Up","MS"
"TK1","Up","MS"
"TM9SF1","Up","MS"
"TXNDC5","Up","MS"
"UQCRC1","Up","MS"
"USP11","Up","MS"
"ZNF410","Up","MS"
"CHMP4B","Down","MS"
"HLA-DPB1","Down","MS"
"HLA-DRA","Down","MS"
"HLA-DRB1","Down","MS"
"PPDPF","Down","MS"
"SEC61G","Down","MS"
"TGFB1","Down","MS"
"TPT1","Down","MS"
"UQCRB","Down","MS"
