"germToFounder","maxToFounder","cloneNum","size"
0.1515341198,0.0897505439,"1166_1_TRUE_202",8
0.1217675415,0.0357426482,"1284_1_TRUE_276",7
0.3666202478,0.1836113241,"1284_1_TRUE_75",6
0.123958426,0.2003578781,"1284_1_TRUE_175",6
0.1203007612,0.0519156093,"1166_1_TRUE_214",5
0.1214963309,0.1620389049,"1166_1_TRUE_84",4
0.0804411268,0.0835110573,"1284_1_FALSE_98",4
0.2109723565,0.0673396502,"1166_1_TRUE_212",4
0.2210353317,0.2381844537,"1284_1_FALSE_329",4
0.1791729351,1.3516e-06,"1166_1_TRUE_5",3
0.1051488198,1.3142e-06,"1166_1_TRUE_83",3
0.2419764269,1.3541e-06,"1227_1_TRUE_96",3
0.1303771662,0.0621003921,"1166_1_TRUE_158",3
0.1009127089,0.1451377238,"1284_1_FALSE_182",3
0.224535572,1.8693e-06,"1284_1_FALSE_272",3
0.1539022808,8.797e-07,"1166_1_TRUE_291",3
0.1676698227,0.0085856042,"1284_1_Not_tested_336",3
0.1202759715,0.0527346645,"1166_1_FALSE_354",3
0.1836071753,1.6525e-06,"1227_1_Not_tested_438",3
0.1151901784,6.033e-07,"1166_1_Not_tested_8",2
0.1169921991,9.422e-07,"1227_1_TRUE_20",2
0.259926039,5.69e-07,"1227_1_TRUE_44",2
0.1585316826,0,"1227_1_TRUE_91",2
0.1442136921,0.0167633245,"1166_1_TRUE_111",2
0.1802946165,4.915e-07,"1166_1_Not_tested_147",2
0.1110884759,6.427e-07,"1166_1_FALSE_151",2
0.0976978339,0.0167703931,"1166_1_TRUE_203",2
0.1927867931,0.1344964229,"1284_1_TRUE_213",2
0.1234844246,0,"1166_1_TRUE_227",2
0.0953093451,6.436e-07,"1166_1_TRUE_233",2
0.1783513025,1.9138e-06,"1166_1_FALSE_235",2
0.1546314777,0.0470624509,"1166_1_TRUE_252",2
0.0962760677,6.36e-07,"1166_1_TRUE_256",2
0.0256053385,5.868e-07,"1166_1_TRUE_293",2
0.0528678328,6.959e-07,"1166_1_TRUE_295",2
0.3572109349,0.0874621726,"1284_1_TRUE_300",2
0.0626930661,0,"1166_1_TRUE_310",2
0.1806340891,8.98e-07,"1166_1_TRUE_318",2
0.1539537813,0.0618650809,"1166_1_FALSE_319",2
0.2740760225,0,"1284_1_TRUE_325",2
0.2793434318,8.529e-07,"1166_1_TRUE_333",2
0.0919201991,9.887e-07,"1166_1_TRUE_335",2
0.0685338443,0,"1166_1_FALSE_391",2
0.330773728,8.82e-07,"1284_1_TRUE_393",2
0.1820363552,6.661e-07,"1166_1_TRUE_394",2
0.2585318365,0.0837282125,"1227_1_Not_tested_415",2
0.1721035477,6.784e-07,"1166_1_TRUE_429",2
0.0977497654,0.0617510212,"1284_1_TRUE_461",2
